day,2012,2013,2014,2015,2016,2017,2018,2019,2020
1,0.16041,0.149,0.08372,0.77855,0.30569,0.163,0.233,0.273,0.10053
2,0.1742,0.113,0.0788,0.86456,0.27483,0.375,0.244,0.567,0.09298
3,0.16,0.089,0.07543,1.26214,0.25375,0.18,0.229,0.575,0.08234
4,0.14319,0.083,0.06934,0.56212,0.22764,0.151,0.229,0.362,0.07001
5,0.13385,0.076,0.05859,0.51682,0.217,0.13,0.229,0.294,0.06149
6,0.12689,0.069,0.048,0.533,0.48646,0.117,0.238,0.254,0.0534
7,0.13063,0.056,0.0521,0.40991,0.57735,0.108,0.443,0.239,0.05803
8,0.1308,0.173,0.06331,0.3652,0.27723,0.095,0.443,0.204,0.06726
9,0.47656,0.502,0.09104,0.30502,0.27247,0.085,0.271,0.188,0.07543
10,0.45306,0.234,0.11819,0.25505,0.24289,0.095,0.238,0.189,0.20243
11,0.23755,0.173,0.10658,0.60234,0.26306,0.106,0.226,0.232,0.35854
12,0.20716,0.277,0.09664,0.27305,0.26816,0.117,0.2,0.341,0.15346
13,0.18557,0.202,0.08635,0.20804,0.26154,0.138,0.2,0.19,0.12968
14,0.17122,0.162,0.08539,0.18426,0.26688,0.163,0.196,0.181,0.11479
15,0.16401,0.149,0.09367,0.14129,0.27276,0.453,0.184,0.167,0.13286
16,0.1567,0.14,0.09441,0.11867,0.27746,0.716,0.18,0.15,0.53606
17,0.1526,0.133,0.08916,0.10001,0.24414,0.267,0.157,0.131,0.32536
18,0.14393,0.116,0.08298,0.08662,0.23401,0.528,0.152,0.12,0.25187
19,0.14723,0.1,0.08368,0.06838,0.2197,0.267,0.159,0.131,0.18899
20,0.15363,0.088,0.07773,0.05876,0.203,0.258,0.153,0.105,0.16381
21,0.15622,0.086,0.07192,0.0523,0.46987,0.364,0.251,0.093,0.15361
22,0.14701,0.08,0.0619,0.2358,0.31216,0.292,0.261,0.094,0.30651
23,0.14257,0.078,0.06969,0.11628,0.2451,0.206,0.14,0.086,0.22046
24,0.48315,0.089,0.07531,0.10038,0.20249,0.196,0.132,0.074,0.18589
25,1.43882,0.098,0.08112,0.1034,0.18588,0.18,0.128,0.065,0.15865
26,0.44986,0.106,0.08467,0.10241,0.17812,0.172,0.136,0.059,0.14484
27,0.28885,0.111,0.0945,0.10322,0.1643,0.16,0.127,0.051,0.14358
28,0.24276,0.105,0.09834,0.09802,0.1551,0.159,0.112,0.047,0.27718
29,0.2161,0.208,0.09994,0.106,0.15064,0.151,0.101,0.036,0.18537
